=== COMBAT STATE LOG ===
Dumped at: 2026-05-16 04:55:45.793
Frame: 11019

[F:10719] State=A@0.795 InTrans=True Next=B@0.50/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10720] State=A@0.796 InTrans=True Next=B@0.52/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10721] State=A@0.798 InTrans=True Next=B@0.55/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10722] State=A@0.800 InTrans=True Next=B@0.58/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10723] State=A@0.801 InTrans=True Next=B@0.60/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10724] State=A@0.803 InTrans=True Next=B@0.63/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10725] State=A@0.805 InTrans=True Next=B@0.66/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10726] State=A@0.806 InTrans=True Next=B@0.68/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10727] State=A@0.808 InTrans=True Next=B@0.71/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10728] State=A@0.810 InTrans=True Next=B@0.74/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10729] State=A@0.811 InTrans=True Next=B@0.76/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10730] State=A@0.813 InTrans=True Next=B@0.79/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10731] State=A@0.815 InTrans=True Next=B@0.81/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10732] State=A@0.816 InTrans=True Next=B@0.84/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10733] State=A@0.818 InTrans=True Next=B@0.87/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10734] State=A@0.819 InTrans=True Next=B@0.89/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10735] State=A@0.821 InTrans=True Next=B@0.92/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10736] State=A@0.823 InTrans=True Next=B@0.96/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10737] State=A@0.825 InTrans=True Next=B@0.98/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10738] State=B@0.076 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83 <<< STATE CHANGE from=A
[F:10739] State=B@0.079 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10740] State=B@0.082 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10741] State=B@0.083 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10742] State=B@0.085 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10743] State=B@0.087 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.83
[F:10744] State=B@0.089 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10745] State=B@0.091 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10746] State=B@0.093 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10747] State=B@0.095 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10748] State=B@0.097 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10749] State=B@0.099 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10750] State=B@0.101 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10751] State=B@0.103 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
